group	lib.size	norm.factors	eff.lib.size
Spring_Rhizome_1	1000081	1.30029888322662	1300404.20743616
Immature_Inflorescence_1	999877	1.11047027066012	1110333.68281682
Mature_Leaf_1	999659	0.822118199699444	821837.857393347
Vegetative_Shoot_Apex_1	999674	1.00253678376686	1002209.95677535
Vegetative_Shoot_Sub_Apex_1	999541	0.946554699724523	946120.231117349
Emerging_Shoot_sample_1	999391	0.937906072657819	937334.887859571
Emerging_Shoot_sample_2	999114	0.917223695983152	916411.035788511
Rhizome_Bud_1	999290	1.04259482369943	1041854.58137461
Preflowering_Apex_1	999259	1.1239133253318	1123080.50555773
Mature_Inflorescence_1	999222	0.95924967609904	958503.379851035
Root_1	998966	0.912600513947795	911656.885016373
Spring_Rhizome_May_1	994619	1.06484096681591	1059111.05757347
Fall_Rhizome_Oct_3	994109	1.00723397661887	1001300.36126261
Spring_Rhizome_May_2	993375	0.92710802317312	920965.932519598
Fall_Rhizome_Oct_2	993564	1.02895969472201	1022337.31012678
Fall_Rhizome_Oct_1	993357	1.00804592063344	1001349.47158267
Spring_Rhizome_May_3	993331	0.975326609557961	968822.156398819
