group	lib.size	norm.factors	eff.lib.size
Spring_Rhizome_1	999908	1.35790181744569	1357776.89047848
Immature_Inflorescence_1	999401	1.1146449823925	1113977.31004805
Mature_Leaf_1	998972	0.905583492633463	904652.552803035
Vegetative_Shoot_Apex_1	998832	1.06244542853459	1061204.49227406
Vegetative_Shoot_Sub_Apex_1	998774	0.998283154771642	997059.259623892
Emerging_Shoot_sample_1	998139	0.984178742501206	982347.185861411
Emerging_Shoot_sample_2	997198	0.959605099674535	956916.286185247
Rhizome_Bud_1	997694	1.01577355669397	1013431.18287223
Preflowering_Apex_1	997302	1.08243935708494	1079518.93569952
Mature_Inflorescence_1	997232	0.961791401946027	959129.16334544
Root_1	996674	0.954112626216323	950939.247621528
Spring_Rhizome_May_1	987307	0.967402067795197	955122.833348673
Fall_Rhizome_Oct_3	987181	0.910148606763278	898481.411773179
Spring_Rhizome_May_2	985775	0.94155128551556	928157.718479101
Fall_Rhizome_Oct_2	986355	0.950503726110567	937534.102767788
Fall_Rhizome_Oct_1	986257	0.941041246604791	928108.516752702
Spring_Rhizome_May_3	985191	0.973493083857433	959076.624778588
